feature,median_original,median_cf,median_healthy,frac_moved_closer,median_abs_dist_original,median_abs_dist_cf,median_improvement
[Bacteroides] pectinophilus [1626],-1.1708895159899135,-1.1708895,-1.1708895159899135,0.2,0.0,1.5989913615399587e-08,-1.5989913615399587e-08
Acidaminococcus intestini [1657],-1.3172696161874338,-1.3172696,-1.3172696161874338,0.1,0.0,1.6187433837799858e-08,-1.6187433837799858e-08
Streptococcus equinus [1381],-0.6212734434691005,-0.62127346,-0.6212734434691005,0.1,0.0,1.6530899538125254e-08,-1.6530899538125254e-08
Prevotella bivia [1076],-0.4044925134527042,-0.40449253,-0.4044925134527042,0.0,0.0,1.654729581135328e-08,-1.654729581135328e-08
Clostridium perfringens [1541],-1.1229062166901511,-1.1229062,-1.1229062166901511,0.2,0.0,1.669015103900051e-08,-1.669015103900051e-08
Enterococcus faecalis [1363],-1.8075111875044512,-2.803777,-0.616073586769917,0.1,2.1877033960547276,2.187703413230083,-1.7175355360166122e-08
Peptostreptococcus anaerobius [1531],-0.5039908825939771,-0.5039909,-0.5039908825939771,0.0,0.0,1.7406022956301115e-08,-1.7406022956301115e-08
Enterococcus casseliflavus [1361],-0.3336723575726849,-0.33367234,-0.3336723575726849,0.1,0.0,1.7572684862798837e-08,-1.7572684862798837e-08
Enterobacter hormaechei/cloacae [384],-0.8574880221333357,-0.85748804,-0.8574880221333357,0.1,0.0,1.786666425918071e-08,-1.786666425918071e-08
Catonella morbi [1422],-0.46725758200842604,-0.4672576,-0.46725758200842604,0.4,0.0,1.7991573952880202e-08,-1.7991573952880202e-08
Fusobacterium nucleatum [1480],-0.7240204185209067,-0.7240204,-0.7240204185209067,0.1,0.0,1.8520906697183648e-08,-1.8520906697183648e-08
unclassified Lachnospiraceae [1614],-0.6676649692264831,-0.66766495,-0.6676649692264831,0.1,0.0,1.9226483072287692e-08,-1.9226483072287692e-08
Pseudomonas aeruginosa [236],-0.31019911954982193,-0.3101991,-0.31019911954982193,0.1,0.0,1.9549821927977717e-08,-1.9549821927977717e-08
Klebsiella oxytoca [401],-0.7828396796158815,-0.78283966,-0.7828396796158815,0.1,0.0,1.9615881474699393e-08,-1.9615881474699393e-08
Atopobium parvulum [808],-0.8297274198132799,-0.8297274,-0.8297274198132799,0.3,0.0,1.9813279905633863e-08,-1.9813279905633863e-08
Coprococcus eutactus [1592],-2.054434324031887,-2.8794204,-1.597450428375509,0.5,1.5162749513485236,1.5162749716244908,-2.0275967127503236e-08
Prevotella buccae [1065],-0.36912392028723906,-0.3691239,-0.36912392028723906,0.0,0.0,2.02872390553388e-08,-2.02872390553388e-08
Granulicatella elegans [1357],-0.5933263085528099,-0.59332633,-0.5933263085528099,0.3,0.0,2.1447190134971095e-08,-2.1447190134971095e-08
Lactobacillus reuteri [1457],-0.6895940075985388,-0.68959403,-0.6895940075985388,0.2,0.0,2.2401461130527878e-08,-2.2401461130527878e-08
unnamed Citrobacter sp. 30_2 [392],-0.6222097225162231,-0.6222097,-0.6222097225162231,0.2,0.0,2.251622310822654e-08,-2.251622310822654e-08
Turicibacter sanguinis [1297],-1.8351799229867578,-1.8351799,-1.8351799229867578,0.1,0.0,2.2986757830523175e-08,-2.2986757830523175e-08
Clostridium perfringens [1540],-0.6112717635397817,-0.61127174,-0.6112717635397817,0.1,0.0,2.353978179048255e-08,-2.353978179048255e-08
Gemella haemolysans [1299],-0.7811401260399244,-0.78114015,-0.7811401260399244,0.4,0.0,2.3960075590245822e-08,-2.3960075590245822e-08
Lactobacillus sakei [1464],-0.7789257757333066,-0.7789258,-0.7789257757333066,0.4,0.0,2.426669343247312e-08,-2.426669343247312e-08
